,glove_score
0,0.5168153240556931
1,0.7205018280507696
2,0.6339167716720299
3,0.6230595335414177
4,0.6062467019005617
5,0.7289892885942268
6,0.7274535671110918
7,0.5842371939018612
8,0.689078912027304
9,0.6555312793612982
10,0.4712255065028434
11,0.6752983734306126
12,0.518470049052997
13,0.6167509047782053
14,0.6842855674655153
15,0.2938132766102856
16,0.20412601244576586
17,0.21738457190528396
18,0.27758535532639816
19,0.21736679488937724
20,0.25213177976123785
21,0.327254071323155
22,0.2537020186650365
23,0.23204203013752228
24,0.2520481272357681
25,0.23441941575350284
26,0.3530130999910874
27,0.21965703843531817
28,0.24051278723194738
29,0.2547024551060185
30,0.342762955976409
31,0.6283643325792235
32,0.2832414780789086
33,0.6543169007079562
34,0.23685279104097248
35,0.4448577866131778
36,0.2814069981404799
37,0.6147378171016283
38,0.6669679635991832
39,0.4069753308497336
40,0.304526709094674
41,0.3925714614199004
42,0.28530116370805325
43,0.31409269921393407
44,0.3476980615751482
45,0.28209733305870544
46,0.6474259743248709
47,0.2455113770707606
48,0.304526709094674
49,0.1967525931332385
50,0.615319980850841
51,0.6177022005573127
52,0.5671191486453926
53,0.758604580221348
54,0.23916352963442708
55,0.6100753240800675
56,0.5806030623480124
57,0.25257087871921946
58,0.28626957022292215
59,0.7012433590913207
60,0.23153991760178733
61,0.30257545885392967
62,0.3926137655739885
63,0.6177510679043212
64,0.520272749519006
65,0.6728258407665519
66,0.29339943724607515
67,0.317494663937782
68,0.5231232526693107
69,0.655090506633631
70,0.25760801270331646
71,0.4071211124030105
72,0.7189771181034771
73,0.5629803671522083
74,0.6202364803599295
75,0.3567763907171876
76,0.4378622150313305
77,0.6591328719228293
78,0.6844503785493662
79,0.6616533267728515
80,0.269616345666264
81,0.3744063350597612
82,0.2741676964407079
83,0.5845726990727315
84,0.6907481164365702
85,0.7039571400330745
86,0.6752570781811984
87,0.4731362724980306
88,0.4865331375101783
89,0.6982779183608886
90,0.5580291169327178
91,0.7002521830087417
92,0.732627035778997
93,0.6364254755398008
94,0.6776718982747945
95,0.5584298374336805
96,0.27982077253545345
97,0.6591806250286576
98,0.4518983031832728
99,0.4043432993010003
100,0.7748148553616511
101,0.4177483781851518
102,0.2314285470215649
103,0.28180370282483835
104,0.23095517489092748
105,0.36229327404892847
106,0.20909902810665398
107,0.2350588541046808
108,0.23522267667168245
109,0.26461069480855237
110,0.29568197753737624
111,0.23521255902663363
112,0.25417189876847546
113,0.3722902890671127
114,0.23161277844482608
115,0.20909902810665398
116,0.23017184491225554
117,0.38575949194896053
118,0.2221834148182237
119,0.2221834148182237
120,0.2631583681732116
121,0.48623205150894844
122,0.2912883482229631
123,0.28930743207547654
124,0.3707874879136767
125,0.2562692223842151
126,0.20718220833387208
127,0.3429784750907747
128,0.24237571319386952
129,0.2707682112981462
130,0.32061707566946707
131,0.391034436983878
132,0.2661078720431717
133,0.28863826409983406
134,0.2846976410724477
135,0.28759103329330554
136,0.7515628229545894
137,0.60142873059188
138,0.4839073924119388
139,0.7363691380671981
140,0.4579095920679717
141,0.6847676897627999
142,0.5955519142329726
143,0.6989932202595369
144,0.7560136773887353
145,0.6598455040670116
146,0.7195534921842304
147,0.6207716352735237
148,0.6166864663368232
149,0.33253818972579985
150,0.34329601800321796
151,0.7466589759497033
152,0.644044384981262
153,0.678371700120491
154,0.6443024095187692
155,0.7417746611503985
156,0.7510658653816514
157,0.6083780233937012
158,0.6749068601833639
159,0.7354103493403507
160,0.6237532170078782
161,0.5852401413803963
162,0.6612902754328289
163,0.6685439726449234
164,0.6207716352735237
165,0.7018087523052141
166,0.3790985430888248
167,0.3478302808300146
168,0.6968792854789502
169,0.6734168213754426
170,0.6836733599687539
171,0.5054208211240194
172,0.7654248302022026
173,0.6646242831424797
174,0.77374095002258
175,0.3787937368085226
176,0.7557423160406166
177,0.7435962726678389
178,0.25365849569638244
179,0.4489501448499912
180,0.4281399186022911
181,0.26721656297589785
182,0.7708716219705932
183,0.7539949358423648
184,0.3160094337685101
185,0.2400771604862934
186,0.2873165993349255
187,0.7582083077546973
188,0.2859800943932135
189,0.4647278854513693
190,0.7563207286227907
191,0.7540938548776116
192,0.25365849569638244
193,0.33857684508885366
194,0.3063579254919476
195,0.4484087372344553
196,0.77374095002258
197,0.7429846074421818
198,0.34301875818140054
199,0.43612718551260865
200,0.3569931633132608
201,0.7430389614802654
202,0.6436163443437943
203,0.7604313881019125
204,0.6965820288466379
205,0.49227784827729515
206,0.39457810382424696
207,0.7624043169206389
208,0.28828438657206534
209,0.28663267145325305
210,0.2763059362175031
211,0.277553727363267
212,0.3360376881772097
213,0.31443499992610374
214,0.3744373499134127
215,0.39741814409981546
216,0.24671052512936495
217,0.22188671910014665
218,0.5948882239262938
219,0.3123034004014763
220,0.6177208980196192
221,0.42290384408462883
222,0.2722826626094522
223,0.4057601742842298
224,0.3374114161217944
225,0.4298435793720933
226,0.20870206070488884
227,0.5441128839481106
228,0.24671052512936495
229,0.22910591557906174
230,0.512052583114927
231,0.23433300206614655
232,0.27579450414034457
233,0.23868638763368105
234,0.5088460790921954
235,0.2753484398195148
236,0.27786305638297737
237,0.2497786255553706
238,0.6148078024931243
239,0.754342765762644
240,0.2671474067956569
241,0.25299108717518737
242,0.24995666616138604
243,0.4856818374212681
244,0.4452095162333209
245,0.3562580357365295
246,0.6019173491264415
247,0.5798346327355527
248,0.40375058289039406
249,0.5987801374391221
250,0.3358224482916108
251,0.709148573496573
252,0.3837802699504211
253,0.6472048555496496
254,0.3393165729166774
255,0.38526397629161424
256,0.6353879280724205
257,0.32002184061426403
258,0.4072716348568027
259,0.3358224482916108
260,0.3261655188696702
261,0.27082259609790427
262,0.32002184061426403
263,0.27150545879962895
264,0.5889245550585878
265,0.302178410000492
266,0.4330550105473347
267,0.2832224377348272
268,0.33204423969465424
269,0.6073349847908616
270,0.43725989644251717
271,0.44131848642484994
272,0.2824939014071877
273,0.4601147277635568
274,0.289506683433363
275,0.2850369006363388
276,0.4141433528982115
277,0.5470027640881319
278,0.28760126379011636
279,0.3329785095868124
280,0.23563859035128418
281,0.4187831862654109
282,0.2850554578915075
283,0.38913303706442176
284,0.23952396105018173
285,0.5100917530446876
286,0.25816143579408096
287,0.34208873937634615
288,0.2269191308348923
289,0.29879731461966164
290,0.44660775897135024
291,0.2661402992969387
292,0.3017050920967336
293,0.28886545759614357
294,0.6374753069954174
295,0.20815242574189347
296,0.24141805019506557
297,0.27605406784777203
298,0.2974649185479029
299,0.5471757034103027
300,0.48451494356243874
301,0.3098311717594394
