,bert_score
0,0.56796014495089
1,0.54894644476682
2,0.5897821298015264
3,0.602542990316158
4,0.5313184945220212
5,0.7086526445939716
6,0.7530234760629662
7,0.4689121934993466
8,0.6683900487977101
9,0.4589691345317625
10,0.5990407590298595
11,0.34866451901562284
12,0.5849654581626915
13,0.5985267516996406
14,0.6408296550460462
15,0.3185122685264145
16,0.25204756480304635
17,0.3002601043963205
18,0.2575433003519102
19,0.25164770130725567
20,0.25643185924207174
21,0.2609299731697819
22,0.2262289163447158
23,0.31412433074774293
24,0.2788059094076486
25,0.21090580899927325
26,0.2573702130810357
27,0.23714967574569198
28,0.23040011353484108
29,0.24864639758381674
30,0.2669730380493739
31,0.6790485662275568
32,0.24087216220947189
33,0.705413703895239
34,0.33515379890926106
35,0.4420391697777196
36,0.22460838256713506
37,0.7133062113317811
38,0.7405382363038566
39,0.280665940360323
40,0.2739433850622656
41,0.28705528633350497
42,0.2756337512622442
43,0.33241734670525347
44,0.4409497443043048
45,0.21871511606072347
46,0.7217782492937712
47,0.3908298343071325
48,0.2739433850622656
49,0.3031402052012918
50,0.6324825198661808
51,0.633859547684769
52,0.32319587557124807
53,0.7499438835801835
54,0.25414621332651854
55,0.7283522638887352
56,0.6731779583154275
57,0.2976818225854868
58,0.25574493641287493
59,0.6989479115588623
60,0.24015482837480406
61,0.3048820862083114
62,0.2943811118528967
63,0.570927860505463
64,0.31597644928389645
65,0.6265188931478878
66,0.25572546391925705
67,0.24067335026729833
68,0.5199518591572585
69,0.7453419034233045
70,0.3027979984851187
71,0.49610613509005336
72,0.7218900380807891
73,0.4508238329214815
74,0.6524270765894055
75,0.3806043997757092
76,0.26085667635454135
77,0.5476876696159695
78,0.705589821044508
79,0.5417040535215649
80,0.2521727572843141
81,0.44719707847100293
82,0.24704275270652917
83,0.5132973981711957
84,0.7237248600651899
85,0.6829690611945102
86,0.6833918633501208
87,0.5410190959488863
88,0.6029541287424562
89,0.6269725253365344
90,0.4203399847179744
91,0.6274732017979827
92,0.6843686975091011
93,0.6159894203927033
94,0.6413438584418016
95,0.658311506983926
96,0.2596906458345116
97,0.7078923756914678
98,0.32678587025875805
99,0.5013840369987539
100,0.7345438557572431
101,0.39472462526723484
102,0.232851521762784
103,0.2562044502892046
104,0.2151128531403193
105,0.38715982229058443
106,0.2275008315609562
107,0.22334106218058594
108,0.2489020208682994
109,0.3322483736655106
110,0.2142614544480566
111,0.23462900778924728
112,0.2354154845045918
113,0.36572071994945327
114,0.21722694633767903
115,0.2275008315609562
116,0.21982361847687265
117,0.24847611052767524
118,0.22609845496751446
119,0.22609845496751446
120,0.34345631415411954
121,0.3397082783592143
122,0.3193629285352255
123,0.2608194579326069
124,0.3496638071909717
125,0.2525475091675996
126,0.27570751713638764
127,0.32340746843421864
128,0.31693730018565247
129,0.2530929964147034
130,0.2250350565709233
131,0.2801081202772623
132,0.22563079480590317
133,0.3727908226552316
134,0.23438135326963155
135,0.2824504407052153
136,0.7401757914934516
137,0.6596232217688587
138,0.45202981831266714
139,0.7729844945357579
140,0.41966205305577714
141,0.7333071337965762
142,0.5725556993377658
143,0.6829071483471137
144,0.6168150008234751
145,0.6677034781986153
146,0.7310971972655131
147,0.6880256718155029
148,0.6655229703653343
149,0.31589116608474815
150,0.3189386512535829
151,0.7211358596930738
152,0.5551772196164935
153,0.7538532932122547
154,0.6552913216567172
155,0.7105940138697676
156,0.6665761105010832
157,0.6714749290944164
158,0.7254697717677249
159,0.7695825304795402
160,0.666445455970135
161,0.5434231555265974
162,0.6692399582621994
163,0.5338468146044703
164,0.6880256718155029
165,0.6465366846314697
166,0.34475534371157435
167,0.3935715891486301
168,0.693941041245629
169,0.6761110958535783
170,0.7132990607123894
171,0.5228529787626954
172,0.7520198989975706
173,0.5730577746477274
174,0.7518980927665178
175,0.5137072484401447
176,0.6139128434336494
177,0.7726043898914475
178,0.3339231736731031
179,0.3270955026449257
180,0.4718080525663585
181,0.2199378931112987
182,0.7792500227470185
183,0.7644135753192454
184,0.2808835194746303
185,0.2517971868069807
186,0.29497969684590397
187,0.7586700645201507
188,0.40941747763778535
189,0.46496742814925496
190,0.739241377719944
191,0.7668875097880603
192,0.2999599124406203
193,0.34123665708367346
194,0.4087863912179346
195,0.48405682085583185
196,0.713127971349655
197,0.7445263202143658
198,0.30093150730372586
199,0.2680493417181852
200,0.4470794402230579
201,0.7111493399120146
202,0.7314077418928548
203,0.7421092286774129
204,0.7907886069179668
205,0.3486261312201137
206,0.34321626595362714
207,0.782178209975251
208,0.2746954087975976
209,0.23488017962142518
210,0.3020519257923353
211,0.306656287796906
212,0.2554109475403822
213,0.32266334715909817
214,0.5182624176441821
215,0.4601082558085207
216,0.2765595084664939
217,0.2899287383538461
218,0.6269181718041648
219,0.2811176671604537
220,0.5805520867466949
221,0.391075575516422
222,0.27159990437547166
223,0.4036680396483197
224,0.46087976519039914
