tp_datos_id,tfidf_net
1,0.58743834
4,0.967136
5,0.7123903
6,0.9765148
7,0.5257706
8,0.98060906
10,0.97591054
13,0.39280087
14,0.7739675
15,0.6487909
16,0.90514445
17,0.33940154
18,0.41523212
19,0.851236
20,0.8734033
23,0.12962535
24,0.08818069
25,0.32808316
26,0.17907539
28,0.24091908
31,0.30604202
32,0.25138438
33,0.057504654
34,0.119968206
36,0.37579143
37,0.12603423
38,0.31578004
39,0.039399743
40,0.37579143
41,0.030881196
44,0.3506027
48,0.3757914
49,0.18087459
50,0.7829083
52,0.12750995
53,0.21727273
54,0.05949381
55,0.6142173
56,0.60021085
57,0.073070556
59,0.2613644
61,0.21743861
62,0.17020229
63,0.27507097
64,0.09646812
65,0.08207956
66,0.7540264
67,0.2568338
68,0.2613644
71,0.091456234
73,0.67442775
74,0.6368692
76,0.40687174
77,0.8013211
78,0.05541265
79,0.61626005
80,0.21643624
81,0.19294822
82,0.106076986
83,0.7657064
85,0.27069098
86,0.44669145
89,0.23302314
91,0.8136552
92,0.16832653
93,0.63484883
95,0.11792323
96,0.050362706
97,0.819631
98,0.64598674
100,0.11310798
102,0.6059279
104,0.9407791
105,0.6408087
107,0.96302885
109,0.28480494
110,0.37759003
112,0.87385476
113,0.9475975
114,0.46528146
117,0.15254566
118,0.1919713
119,0.07739106
120,0.46257985
121,0.80047977
126,0.91405994
128,0.7861041
129,0.7562416
130,0.71814054
131,0.85885537
132,0.34475404
133,0.6947662
134,0.9165125
135,0.5519483
136,0.8463583
137,0.5696112
138,0.1310564
139,0.7685822
141,0.28371313
143,0.43483198
144,0.97292805
145,0.46725553
146,0.13325208
149,0.1433768
151,0.0032349825
153,0.41378453
156,0.007828891
157,0.2696234
158,0.15913662
159,0.27087882
160,0.25406462
161,0.11742109
162,0.08536348
163,0.092630446
164,0.0032349825
165,0.007828891
168,0.0032349825
170,0.08810419
171,0.007828891
172,0.007828891
173,0.08474454
174,0.2948972
175,0.030414015
176,0.03214872
178,0.21550849
180,0.07275972
182,0.03905055
183,0.08040473
184,0.031380713
185,0.038215935
187,0.020477653
190,0.092630446
191,0.07045776
193,0.28707242
194,0.2446107
195,0.17697218
196,0.99896574
197,0.69261163
198,0.63364244
199,0.9985063
201,0.42503244
203,0.9167236
204,0.7137578
205,0.98890185
208,0.90640545
209,0.98308694
210,0.9987016
211,0.9982369
212,0.8689444
213,0.31821406
215,0.7195329
216,0.9987825
218,0.9248419
219,0.98890185
220,0.98890185
221,0.9602708
222,0.9655837
225,0.648126
226,0.99839664
229,0.9985063
