,word2vec_score
0,0.5701971943588757
1,0.6193191400866442
2,0.6654304634362745
3,0.7540682805546971
4,0.6433589828812758
5,0.7411913003161861
6,0.7491751449587927
7,0.31317985674391335
8,0.5215924518724473
9,0.5986870934170243
10,0.6283537864706276
11,0.3384558135519565
12,0.5789337441096118
13,0.6372599163736389
14,0.6898967402613788
15,0.25736288572036986
16,0.2593036129880223
17,0.2705317033300818
18,0.30957113872170217
19,0.2890560688576219
20,0.23887049961729048
21,0.2779254056627934
22,0.2827922497470855
23,0.32222780495922443
24,0.3820736776694661
25,0.23000739846997123
26,0.4211958892015136
27,0.2695208794289953
28,0.3820736776694661
29,0.2333359303626311
30,0.27865232204987883
31,0.5932274160402886
32,0.26581915441239823
33,0.5934388193530313
34,0.3101621593462697
35,0.3623710433175984
36,0.24355344130199738
37,0.6031409340384123
38,0.5718704608708495
39,0.336103752413469
40,0.28007923554693887
41,0.29204470965904983
42,0.2948344512800642
43,0.30931320790643624
44,0.3405664509237691
45,0.23835267146194017
46,0.7156011248086752
47,0.3050584862107293
48,0.28007923554693887
49,0.24985318582185428
50,0.42206998561270515
51,0.6089180451044667
52,0.3205211108104947
53,0.6723281958930379
54,0.25889689630934704
55,0.7069051832107591
56,0.6303403307329549
57,0.33319996576622246
58,0.22519386420937923
59,0.7352687947450979
60,0.26229271218741335
61,0.4053984975663812
62,0.3953745305870132
63,0.6677919915506534
64,0.3129806482639396
65,0.5053622442562254
66,0.2680369768346522
67,0.24363202394393313
68,0.5520614681425156
69,0.6383174181334889
70,0.2749222292654691
71,0.4924075303683407
72,0.5786444043604309
73,0.5850635910120339
74,0.6179592343003304
75,0.41719494163667975
76,0.3565472359568804
77,0.6858317866933543
78,0.744114849476947
79,0.49076231848783836
80,0.36610339658183033
81,0.40031728995669214
82,0.2574591508425074
83,0.5633451178503137
84,0.68731753869206
85,0.603964929773815
86,0.6657563108359013
87,0.6969575423555538
88,0.5400775149494054
89,0.7105850120943298
90,0.47248350914359005
