tp_datos_id,tfidf_net_tri
1,0.60762656
4,0.934687
5,0.7059696
6,0.9538008
7,0.55800885
8,0.96016634
10,0.95304537
13,0.43095076
14,0.7652622
15,0.6628765
16,0.8783889
17,0.38345993
18,0.45124114
19,0.82500994
20,0.8544469
23,0.18500984
24,0.13164175
25,0.37523353
26,0.22841316
28,0.3002951
31,0.35271305
32,0.30047378
33,0.099252224
34,0.17316318
36,0.41247642
37,0.1867604
38,0.3477516
39,0.06920555
40,0.41247642
41,0.07846534
44,0.39004728
48,0.4124764
49,0.2224125
50,0.7710463
52,0.17503244
53,0.262502
54,0.099051625
55,0.6229405
56,0.6103224
57,0.12727603
59,0.31232896
61,0.26323617
62,0.21074381
63,0.33299905
64,0.15025768
65,0.123646766
66,0.75145006
67,0.29478744
68,0.31232896
71,0.13340318
73,0.68410033
74,0.6607811
76,0.43364757
77,0.79521376
78,0.09253436
79,0.62906647
80,0.26622117
81,0.24385789
82,0.15184906
83,0.7641494
85,0.32050875
86,0.48204324
89,0.2876463
91,0.81251234
92,0.21250215
93,0.63624847
95,0.18113714
96,0.08472806
97,0.78519666
98,0.6400564
100,0.16396755
102,0.61379635
104,0.9095598
105,0.6425271
107,0.9400491
109,0.32917008
110,0.4011916
112,0.82074356
113,0.9240545
114,0.4959922
117,0.21153283
118,0.24200904
119,0.11991763
120,0.48343247
121,0.7744314
126,0.8917066
128,0.75832194
129,0.738211
130,0.6979041
131,0.8184618
132,0.3856567
133,0.67512906
134,0.8734813
135,0.5666148
136,0.79680324
137,0.58030677
138,0.18117547
139,0.7663437
141,0.34473705
143,0.47640273
144,0.94597924
145,0.49300972
146,0.17917588
149,0.17906201
151,0.014906943
153,0.4469772
156,0.024461687
157,0.30844668
158,0.21276045
159,0.3115925
160,0.3128914
161,0.1573441
162,0.12429616
163,0.16633537
164,0.014906943
165,0.024461687
168,0.014906943
170,0.14969343
171,0.024461687
172,0.024461687
173,0.12865382
174,0.3326192
175,0.06146869
176,0.06870544
178,0.25862122
180,0.11539793
182,0.06979549
183,0.12716001
184,0.0603652
185,0.07235041
187,0.051540673
190,0.16633537
191,0.11459607
193,0.331639
194,0.2793081
195,0.22886646
196,0.9945874
197,0.6871893
198,0.61542296
199,0.9932699
201,0.44468775
203,0.8829839
204,0.6900118
205,0.9727479
208,0.86652243
209,0.96155655
210,0.9938489
211,0.99255615
212,0.84314096
213,0.35656214
215,0.6923645
216,0.9940927
218,0.8936851
219,0.9727479
220,0.9727479
221,0.9269715
222,0.937959
225,0.6364829
226,0.9928719
229,0.9932699
231,0.9204701
232,0.57068485
235,0.9711826
237,0.6382895
238,0.99255615
240,0.83405983
241,0.30451703
242,0.70855653
243,0.8569901
244,0.7693879
245,0.8164549
246,0.35943133
247,0.9925947
248,0.91934156
