,target,word2vec_tree,elmo_tree,glove_tree,bert_tree,bert_net,elmo_net,w2v_net,glove_net,tf_train,tf_uni,tf_bi,tf_tri,keyword_veracity,trans_bert
0,1,0.8952534481320147,0.7791797113295277,0.7569754325813142,0.7173586295796894,0.32471609999999995,0.6934363,0.99257207,0.6517798,0.58743834,0.5809221,0.5641729,0.60762656,0.6885245901639344,0.9961057305336
1,1,0.9372786726149298,0.8125642803920012,0.9466963760789228,0.7967577274983668,0.25583255,0.3736375,0.999871,0.96633804,0.9671360000000001,0.98687637,0.98230255,0.934687,0.6885245901639344,0.9931731820106506
2,1,0.9550097718561068,0.8431250625102124,0.9512158232262096,0.8170019904072188,0.6434401,0.74961406,0.96720266,0.9719548000000001,0.7123903,0.7882766999999999,0.8129605,0.7059696,0.6885245901639344,0.994093120098114
3,1,0.9868707469447471,0.8931349839187032,0.9444573551191834,0.9125081749232103,0.9271751,0.9306742,0.99999577,0.9342171,0.9765148000000001,0.9824103999999999,0.9830061,0.9538008,0.6885245901639344,0.9985609650611876
4,1,0.9448205029622948,0.8412586204862593,0.8831942083900259,0.7691967915165515,0.770494,0.57392985,0.9983773000000001,0.6071701999999999,0.5257706,0.53122884,0.4984041,0.55800885,0.6885245901639344,0.994882345199585
5,1,0.9719262568990176,0.969450332471186,0.9914974116389133,0.9387568435045472,0.9744072,0.90551746,0.99999726,0.96977144,0.98060906,0.9846881,0.9927331,0.96016634,0.6885245901639344,0.9980514049530028
6,1,0.99123575922243,0.9890470095216468,1.0057556569225183,0.9866661618178224,0.99854064,0.9997548,0.999944,0.99963045,0.97591054,0.9866625,0.9927453000000002,0.95304537,0.6885245901639344,0.9909908771514891
7,1,0.8382301616174151,0.5915415451403188,0.7733835304651556,0.6018656210304021,0.16930515,0.18733871,0.796966,0.27561486,0.39280087,0.22423089,0.47517756,0.43095076,0.6885245901639344,0.940519154071808
8,1,0.9576139561524216,0.8249916845352991,0.9445886008606046,0.8779363236173815,0.9309795,0.76415265,0.9980186,0.90621114,0.7739675,0.8467146000000001,0.722284,0.7652621999999999,0.6885245901639344,0.996426284313202
9,1,0.92303721288862,0.7573184638144136,0.9181187269659647,0.6104687933055739,0.74130833,0.5431437,0.99573535,0.75580454,0.6487909000000001,0.581547,0.5794720999999999,0.6628765,0.6885245901639344,0.9951958060264589
10,1,0.959888298990702,0.8456051790051433,0.948117766548634,0.8565047809156748,0.9738041,0.75895035,0.98896897,0.67115563,0.90514445,0.9498106,0.9607806000000001,0.8783889000000001,0.6885245901639344,0.9949899315834044
11,1,0.8025639050724165,0.8422445187320348,0.7221576739211736,0.6615860194690651,0.43427944,0.87725294,0.5356806,0.55053437,0.33940154,0.28867978,0.36645353,0.38345993,0.6885245901639344,0.9962852001190186
12,1,0.904520567532955,0.8408225562438656,0.8955639121835925,0.8228528235754824,0.92613393,0.8560817,0.9865784,0.9197732,0.41523212,0.285841,0.40447265,0.45124114,0.6885245901639344,0.9897144436836244
13,1,0.9515153904795921,0.8145726080793695,0.9027619137652872,0.8938896861283843,0.9633436,0.8265724,0.9974470999999999,0.83331245,0.8512360000000001,0.9194288,0.95576704,0.82500994,0.6885245901639344,0.7713620662689209
14,1,0.9890140319268068,0.8831833584738465,0.9341426949690828,0.9285091882714124,0.9882156999999999,0.9227271,0.99950707,0.96291834,0.8734033000000001,0.94982076,0.89533085,0.8544469000000001,0.6885245901639344,0.9993429780006408
15,0,0.0612638639654501,0.0959244523935301,0.060846581512832974,0.08172445672180041,0.14791286,0.0645287,0.025955497999999997,0.18799406,0.12962535,0.09228161,0.18313214,0.18500984,0.6885245901639344,0.0316791757941246
16,0,0.028058141868712628,0.04439130634884243,0.015317168520159416,0.059902295074078925,0.15566987,0.03718093,0.00012850761,0.010273546,0.08818069,0.05126965,0.11914232400000001,0.13164175,0.6885245901639344,0.01012377254664898
17,0,0.053642916950228235,0.06928913438793717,0.04171762225290297,0.04048483116392402,0.08113581,0.08487156,2.8280482000000004e-08,0.07894537,0.32808316,0.21045100000000003,0.35467875,0.37523353,0.6885245901639344,0.10454107075929643
18,0,0.044911819586878836,0.12016071137008502,0.13816137434336145,0.09262208321913926,0.32455385,0.19651568,0.0077460409999999995,0.3635246,0.17907539,0.15405431,0.16062936,0.22841316,0.6885245901639344,0.1406538486480713
19,0,0.06424830316370186,0.04616977008710375,0.0624583411844157,0.10788339650958126,0.12949648,0.07383892,0.0026114582999999998,0.19397753,0.24091908,0.29834303,0.40065852,0.3002951,0.6885245901639344,0.0866512879729271
20,0,0.06397870834692465,0.0638616114103509,0.08801974834976026,0.07218792266660626,0.05836293,0.07651058,3.646926e-05,0.2413893,0.30604202,0.20965901,0.35710025,0.35271305,0.6885245901639344,0.11169234663248062
21,0,0.06668321521980056,0.0629774625129752,0.07709883246305912,0.08870859644219417,0.35952407,0.16838038,0.0006425082700000001,0.29807937,0.25138438,0.21130306,0.3613847,0.30047378,0.6885245901639344,0.10188887268304823
22,0,0.054912207164376836,0.03405968512615885,0.05838692083830006,0.054436038526510896,0.07459679,0.053762823,0.0018783510000000001,0.10720834,0.057504654,0.03428468,0.031370312000000004,0.099252224,0.6885245901639344,0.039093781262636185
