tp_datos_id,tfidf_net_uni
1,0.5809221
4,0.98687637
5,0.7882767
6,0.9824104
7,0.53122884
8,0.9846881
10,0.9866625
13,0.22423089
14,0.8467146
15,0.581547
16,0.9498106
17,0.28867978
18,0.285841
19,0.9194288
20,0.94982076
23,0.09228161
24,0.05126965
25,0.210451
26,0.15405431
28,0.29834303
31,0.20965901
32,0.21130306
33,0.03428468
34,0.1317549
36,0.21050909
37,0.1122314
38,0.26110473
39,0.024327844
40,0.21050909
41,0.065303296
44,0.21050906
48,0.21050906
49,0.20186883
50,0.80428576
52,0.098370194
53,0.147937
54,0.042147905
55,0.35414344
56,0.666141
57,0.08142832
59,0.11067703
61,0.24623752
62,0.096425295
63,0.21050909
64,0.06217909
65,0.031360984
66,0.8851161
67,0.31979302
68,0.11067703
71,0.06480309
73,0.74983144
74,0.47356272
76,0.356471
77,0.79026115
78,0.026828289
79,0.61718374
80,0.19533974
81,0.11229169
82,0.067270905
83,0.84565663
85,0.14115229
86,0.34033853
89,0.14874846
91,0.5850408
92,0.06885904
93,0.63649774
95,0.06465629
96,0.036711186
97,0.779344
98,0.7057828
100,0.22267696
102,0.6026969
104,0.9365458
105,0.5955412
107,0.96138
109,0.4458519
110,0.29790476
112,0.91430044
113,0.945709
114,0.58312875
117,0.3117683
118,0.11203754
119,0.22494307
120,0.5057885
121,0.87565154
126,0.9067368
128,0.75106645
129,0.91113734
130,0.7943681
131,0.78836393
132,0.63621855
133,0.7505789
134,0.9043408
135,0.5867063
136,0.8997664
137,0.58826
138,0.10327464
139,0.8696381
141,0.35375747
143,0.46954983
144,0.98299456
145,0.5883619
146,0.07863578
149,0.113805294
151,0.008433461
153,0.29348546
156,0.01190424
157,0.30093196
158,0.14282787
159,0.27039415
160,0.20325655
161,0.039334238
162,0.063111305
163,0.06698397
164,0.008433461
165,0.01190424
168,0.008433461
170,0.096981674
171,0.01190424
172,0.01190424
173,0.08979049
174,0.15753767
175,0.02415201
176,0.022704273
178,0.09680739
180,0.03092441
182,0.0416331
183,0.08332494
184,0.03031519
185,0.026545793
187,0.010928333
190,0.06698397
191,0.05097741
193,0.1917418
194,0.15122834
195,0.08208531
196,0.9924035
197,0.7335114
198,0.7684065
199,0.9898187
201,0.42927462
203,0.94495404
204,0.71175706
205,0.9710108
208,0.925128
209,0.9670068
210,0.99125373
211,0.9883981
212,0.9020161
213,0.2814157
215,0.790123
216,0.9901111
218,0.95680195
219,0.9710108
220,0.9710108
221,0.9698137
222,0.9803529
225,0.8288498
226,0.9904218
229,0.9898187
231,0.65141493
232,0.6377366
235,0.961959
237,0.66836864
238,0.9883981
240,0.91303486
241,0.59631294
242,0.9156051
243,0.93873984
244,0.88605714
245,0.8516249
246,0.44796556
247,0.9949043
248,0.9647175
249,0.9955944
251,0.13100252
252,0.6282283
253,0.9949043
254,0.023552448
256,0.06187886
258,0.48506555
260,0.07613543
261,0.9928031
262,0.9949043
263,0.36310887
264,0.0836772
265,0.023552448
266,0.97791654
267,0.02619055
268,0.22568586
269,0.9949043
270,0.9949043
271,0.023552448
272,0.023552448
273,0.036340952
274,0.15197769
276,0.9957913
277,0.9949043
279,0.12160754
280,0.18137541
281,0.1787689
283,0.9949043
285,0.9949043
287,0.99472284
289,0.99472284
290,0.10572338
291,0.09108713
293,0.9949043
294,0.14273822
296,0.054173887
297,0.021188319
298,0.07195145
299,0.46755484
301,0.054587662
302,0.2315749
303,0.13841274
307,0.0680961
309,0.04455033
310,0.8685272
312,0.04926631
313,0.8685272
314,0.09155017
315,0.018992782
316,0.49858263
318,0.366867
320,0.52478766
321,0.026652455
322,0.8076662
327,0.0680961
328,0.06391269
329,0.13860807
330,0.09600788
331,0.18882394
332,0.25148392
334,0.137959
335,0.052643657
336,0.24225333
337,0.069176465
338,0.8685272
340,0.13942677
341,0.18416151
344,0.06929931
345,0.062079966
346,0.12971932
347,0.3094351
348,0.30443704
349,0.5228009
352,0.37345773
353,0.15330383
354,0.10172391
355,0.5228009
356,0.5228009
358,0.21776757
360,0.5228009
361,0.13545102
363,0.20044023
364,0.6935952
365,0.11912757
368,0.09349412
370,0.5228009
371,0.04075679
372,0.08197555
375,0.11912757
380,0.17198819
381,0.4901176
