,elmo_score
0,0.5554877518887484
1,0.6023148545316246
2,0.5893319523666221
3,0.6238546578293676
4,0.6772150587063199
5,0.727668158477966
6,0.753442461497918
7,0.30697685764971794
8,0.5523699837479787
9,0.5528175810149265
10,0.5483432766175467
11,0.6328318674141687
12,0.5832894235567788
13,0.5313358381985649
14,0.5094785022691581
15,0.24472479826299395
16,0.2280837610134016
17,0.2207249465273983
18,0.2350088323063435
19,0.23592517792923876
20,0.24248061816599695
21,0.2577283349705026
22,0.23384969141683146
23,0.23387212818256228
24,0.24249803887569704
25,0.2319276313799093
26,0.25333801301896297
27,0.2322680563169696
28,0.23972460969626802
29,0.24285122951830637
30,0.23617855179814656
31,0.35174178766009423
32,0.30294553212466
33,0.5259943441496798
34,0.2483507058685456
35,0.3203880724403284
36,0.2876843544164271
37,0.4465123068767679
38,0.6093719816603838
39,0.29800372641078565
40,0.25203355903641644
41,0.27154430327594603
42,0.25789965135740645
43,0.2273990112435958
44,0.25728236872399185
45,0.2372730795193343
46,0.5493170811482504
47,0.2885300349108225
48,0.25203355903641644
49,0.24602092235528827
50,0.48734776895578236
51,0.5370475146574806
52,0.3164646385677526
53,0.7214426523262861
54,0.27928426492818587
55,0.7109050815411825
56,0.658639338087315
57,0.29733533500240994
58,0.31888276555686457
59,0.7199461574434959
60,0.24384291533857572
61,0.3156723836835841
62,0.28688057352154156
63,0.6962823779911402
64,0.29134935473109436
65,0.38621041048300453
66,0.2413566360970189
67,0.2346812209842955
68,0.5928164621276067
69,0.703213669061233
70,0.3395562930731282
71,0.47414675688367486
72,0.6976630425398509
73,0.37811158924302435
74,0.6991012963193944
75,0.32888904875825337
76,0.28263567099019504
77,0.7096343955397992
78,0.6472822821882567
79,0.47608198579491745
80,0.3062282887071377
81,0.38995486623342923
82,0.25537459158204984
83,0.5061692119851384
84,0.4327560739114576
85,0.6999277809103638
86,0.6650282277305208
87,0.47029727413304867
88,0.7142319391374665
89,0.6918549469780887
90,0.3494915632519756
91,0.5325312917126893
92,0.5871679999192703
93,0.5346783296555742
94,0.45100669856390596
95,0.5323805153905805
96,0.29444337246959706
97,0.7158494650627893
98,0.30377072168105174
99,0.3459504621699204
100,0.7450934075845567
101,0.4398877490218271
102,0.2825447292145916
103,0.37723605894333856
104,0.23518382931100668
105,0.2746927212288046
106,0.18445701998088554
107,0.306175617241232
108,0.3321102549594611
109,0.3017461930857091
110,0.3165466545113454
111,0.28977550740264163
112,0.3435400942664574
113,0.3764461263428228
114,0.2255221517512453
115,0.18445701998088554
116,0.21161298492441336
117,0.290878684005534
118,0.19873254042173205
119,0.19873254042173205
120,0.2508987614449963
121,0.34419456603659887
