id,net
1,0.9961058
4,0.99317306
5,0.9940931
6,0.99856097
7,0.99488235
8,0.9980514
10,0.990991
13,0.9405192
14,0.99642634
15,0.99519575
16,0.9949899
17,0.9962852
18,0.9897145
19,0.7713616
20,0.99934304
23,0.031679124
24,0.0101237595
25,0.10454127
26,0.14065403
28,0.08665115
31,0.11169219
32,0.101888776
33,0.039093703
34,0.093404144
36,0.12466869
37,0.0488393
38,0.036118537
39,0.01039806
40,0.057573527
41,0.015613496
44,0.05877298
48,0.942473
49,0.072839886
50,0.98096037
52,0.021861523
53,0.027188629
54,0.20048961
55,0.99519074
56,0.99868786
57,0.059376508
59,0.055300266
61,0.07012528
62,0.076021194
63,0.11492717
64,0.10976976
65,0.025948644
66,0.99809164
67,0.04869789
68,0.055300266
71,0.07449475
73,0.9981758
74,0.7359344
76,0.26077926
77,0.86333776
78,0.10167071
79,0.9168662
80,0.9947821
81,0.06711388
82,0.1286616
83,0.99675477
85,0.025378615
86,0.061018348
89,0.03181082
91,0.9933125
92,0.02668026
93,0.99406266
95,0.065748006
96,0.051924527
97,0.9922586
98,0.9743675
100,0.050020486
102,0.25855112
104,0.9966644
105,0.5005388
107,0.98577714
109,0.043754965
110,0.09748894
112,0.9498917
113,0.96835995
114,0.9667106
117,0.05151236
118,0.83565307
119,0.091792256
120,0.99050474
121,0.9933771
126,0.99383175
128,0.9949243
129,0.991951
130,0.9904988
131,0.97631735
132,0.19523653
133,0.9964181
134,0.9774544
135,0.7006521
136,0.9860878
137,0.9629309
138,0.21539634
139,0.9974236
141,0.029126406
143,0.7797485
144,0.9988868
145,0.32604346
146,0.020375311
149,0.04569453
151,0.029605031
153,0.07808182
156,0.032459736
157,0.0118505955
158,0.034776777
159,0.023455292
160,0.0887534
161,0.046783358
162,0.024018556
163,0.032188833
164,0.028697342
165,0.032459736
168,0.031472027
170,0.02603975
171,0.033463955
172,0.033463955
173,0.024382025
174,0.22660956
175,0.045124948
176,0.02778253
178,0.043442458
180,0.058660924
182,0.01961273
183,0.07207522
184,0.05891633
185,0.014961839
187,0.0062949955
190,0.027347088
191,0.085303426
193,0.0322946
194,0.016400695
195,0.018251121
196,0.9979297
197,0.9278906
198,0.5531068
199,0.9983723
201,0.81846344
203,0.9410928
204,0.9872358
205,0.99212587
208,0.9911655
209,0.98159945
210,0.9979848
211,0.99867094
